Date,State,District,Mandi,Commodity,Variety,Min Price,Max Price,Modal Price,Unit,Arrival Quantity,Grade,Market Fee (%),Trader Count
3/14/2024,Punjab,Patiala,Agro Market,Tomato,Desi,894,1064,937,Quintal,26.12,B,1.49,5
5/24/2024,Karnataka,Mysore,Agro Market,Potato,Chipsona,947,1260,1121.5,Quintal,95.06,A,2.4,10
6/4/2024,Uttar Pradesh,Lucknow,Agro Market,Sugarcane,CO 86032,960,1194,1053,Quintal,86.34,C,2.34,4
4/18/2024,Karnataka,Mysore,Agro Market,Sugarcane,CO 0238,987,1199,1120,Quintal,88.23,B,1.21,12
3/18/2024,Punjab,Patiala,Wholesale Yard,Sugarcane,CO 0238,937,1187,1084,Quintal,71.79,B,1.16,5
3/26/2024,Punjab,Amritsar,Wholesale Yard,Tomato,Desi,813,1124,965.5,Quintal,66.44,C,1.1,4
6/7/2024,Gujarat,Vadodara,Sub Mandi,Rice,Kolam,1173,1469,1305,Quintal,52.36,A,1.08,2
2/10/2024,Gujarat,Ahmedabad,Wholesale Yard,Wheat,Durum,804,1111,1003.5,Quintal,92.74,C,2.07,13
2/22/2024,Maharashtra,Nagpur,Agro Market,Wheat,Sharbati,930,1164,1003,Quintal,71.24,A,2.78,5
5/25/2024,Punjab,Amritsar,Agro Market,Rice,Basmati,964,1358,1186,Quintal,8.5,A,2.85,4
4/9/2024,Uttar Pradesh,Lucknow,Agro Market,Rice,Sona Masoori,1200,1328,1279,Quintal,24.06,C,2.04,9
1/25/2024,Punjab,Amritsar,Wholesale Yard,Tomato,Hybrid,934,1169,1042.5,Quintal,63.61,A,1.41,7
6/22/2024,Karnataka,Mysore,Sub Mandi,Tomato,Desi,902,1078,1031,Quintal,31.82,B,1.72,3
1/11/2024,Uttar Pradesh,Kanpur,Main Mandi,Sugarcane,CO 0238,853,1224,1004.5,Quintal,82.43,B,2.53,2
2/10/2024,Gujarat,Vadodara,Agro Market,Potato,Kufri Jyoti,835,1122,997.5,Quintal,66.7,A,2.46,9
6/27/2024,Punjab,Patiala,Agro Market,Tomato,Hybrid,1092,1298,1245,Quintal,41.63,A,2.24,14
3/25/2024,Punjab,Amritsar,Agro Market,Wheat,Durum,915,1232,1083.5,Quintal,28.78,B,2.89,8
4/9/2024,Gujarat,Ahmedabad,Wholesale Yard,Potato,Kufri Jyoti,830,1179,955.5,Quintal,52.8,C,1.69,13
1/4/2024,Punjab,Patiala,Agro Market,Wheat,Lokwan,898,1129,972.5,Quintal,24.43,A,1.38,8
1/1/2024,Punjab,Patiala,Sub Mandi,Sugarcane,CO 0238,1027,1370,1220.5,Quintal,7.9,C,2.3,7
2/1/2024,Karnataka,Hubli,Sub Mandi,Sugarcane,CO 0238,1144,1356,1265,Quintal,45.59,A,1.1,15
2/10/2024,Uttar Pradesh,Lucknow,Agro Market,Onion,Red,1120,1390,1279,Quintal,10.76,A,2.73,9
5/29/2024,Karnataka,Bangalore,Sub Mandi,Tomato,Desi,940,1237,1112.5,Quintal,77.15,C,1.23,7
4/28/2024,Karnataka,Mysore,Wholesale Yard,Potato,Kufri Jyoti,1191,1419,1259,Quintal,89.31,C,1.26,5
5/1/2024,Gujarat,Ahmedabad,Wholesale Yard,Sugarcane,CO 0238,1196,1339,1233.5,Quintal,34.55,C,2.52,14
4/13/2024,Uttar Pradesh,Kanpur,Sub Mandi,Wheat,Durum,1091,1389,1216,Quintal,10.56,C,1.61,8
6/6/2024,Maharashtra,Nagpur,Agro Market,Wheat,Durum,1160,1524,1333,Quintal,58.57,B,1.15,6
1/31/2024,Maharashtra,Pune,Sub Mandi,Maize,White,1118,1450,1251,Quintal,78.54,A,1.46,4
3/6/2024,Uttar Pradesh,Kanpur,Agro Market,Maize,White,845,1197,1068,Quintal,71.19,C,2.57,10
5/9/2024,Uttar Pradesh,Kanpur,Agro Market,Potato,Kufri Jyoti,1019,1306,1127.5,Quintal,92.18,C,2.79,15
5/28/2024,Uttar Pradesh,Kanpur,Sub Mandi,Potato,Kufri Jyoti,1160,1392,1304,Quintal,93.3,C,2.54,15
1/22/2024,Uttar Pradesh,Lucknow,Sub Mandi,Rice,Kolam,959,1174,1036.5,Quintal,93.01,B,2.19,13
1/19/2024,Gujarat,Surat,Sub Mandi,Tomato,Desi,1127,1440,1323.5,Quintal,49.88,A,2.25,8
1/25/2024,Gujarat,Surat,Sub Mandi,Potato,Chipsona,928,1199,1019.5,Quintal,53.29,C,2.57,14
1/6/2024,Gujarat,Ahmedabad,Main Mandi,Wheat,Sharbati,1029,1178,1058.5,Quintal,49.28,C,2.8,12
3/28/2024,Karnataka,Bangalore,Main Mandi,Onion,Pink,827,1161,1026,Quintal,81.75,C,1.02,2
4/22/2024,Karnataka,Mysore,Main Mandi,Potato,Kufri Jyoti,959,1247,1074,Quintal,21.59,A,2.79,5
3/11/2024,Punjab,Amritsar,Wholesale Yard,Maize,White,931,1281,1118,Quintal,25.11,A,2.39,14
6/4/2024,Karnataka,Bangalore,Agro Market,Rice,Kolam,805,1089,914,Quintal,19.1,A,1.88,4
2/19/2024,Maharashtra,Pune,Agro Market,Potato,Kufri Jyoti,1077,1419,1210,Quintal,87.91,B,2.87,13
5/3/2024,Maharashtra,Pune,Wholesale Yard,Potato,Chipsona,1055,1303,1149,Quintal,59.67,B,1.04,11
1/23/2024,Punjab,Amritsar,Wholesale Yard,Rice,Kolam,1053,1283,1190,Quintal,6.01,A,1.18,15
5/4/2024,Maharashtra,Nagpur,Main Mandi,Potato,Kufri Jyoti,801,1043,946,Quintal,89.83,C,2.21,4
3/19/2024,Punjab,Amritsar,Sub Mandi,Rice,Kolam,985,1182,1068.5,Quintal,7.77,C,2.65,11
1/19/2024,Karnataka,Bangalore,Main Mandi,Wheat,Sharbati,984,1307,1158.5,Quintal,39.33,A,2.28,8
4/28/2024,Karnataka,Mysore,Sub Mandi,Onion,Red,907,1055,1010,Quintal,94.22,C,2.77,11
3/13/2024,Gujarat,Vadodara,Main Mandi,Rice,Kolam,1008,1344,1195,Quintal,37.98,C,1.49,6
2/13/2024,Maharashtra,Nagpur,Sub Mandi,Potato,Kufri Jyoti,852,1223,1079.5,Quintal,26.51,C,1.5,6
5/25/2024,Punjab,Patiala,Wholesale Yard,Rice,Sona Masoori,1082,1292,1159,Quintal,50.84,A,1.32,5
6/18/2024,Karnataka,Mysore,Sub Mandi,Onion,Red,928,1328,1095,Quintal,61.15,B,2.72,10
2/22/2024,Gujarat,Ahmedabad,Agro Market,Tomato,Desi,960,1272,1166,Quintal,89.86,B,2.13,11
2/5/2024,Karnataka,Hubli,Sub Mandi,Wheat,Durum,878,1186,1079,Quintal,25.96,C,2.22,13
4/22/2024,Karnataka,Bangalore,Wholesale Yard,Maize,White,1097,1431,1223,Quintal,23.31,B,1.56,4
3/7/2024,Gujarat,Ahmedabad,Agro Market,Wheat,Durum,1123,1269,1160,Quintal,20.53,B,1.24,11
4/16/2024,Maharashtra,Nagpur,Main Mandi,Maize,Yellow,1164,1296,1218,Quintal,79.05,A,1.09,10
3/6/2024,Gujarat,Ahmedabad,Agro Market,Onion,Red,980,1194,1071,Quintal,84.38,B,2.76,11
5/17/2024,Punjab,Amritsar,Agro Market,Rice,Basmati,841,1074,908.5,Quintal,12.68,A,2.42,5
2/3/2024,Gujarat,Ahmedabad,Agro Market,Rice,Sona Masoori,898,1047,963.5,Quintal,78.64,B,1.36,9
1/22/2024,Uttar Pradesh,Lucknow,Wholesale Yard,Sugarcane,CO 86032,983,1100,1030.5,Quintal,72.25,C,2.02,13
2/12/2024,Uttar Pradesh,Varanasi,Agro Market,Tomato,Desi,1155,1372,1265.5,Quintal,19.77,C,2.9,7
3/2/2024,Punjab,Amritsar,Wholesale Yard,Wheat,Sharbati,1187,1524,1361.5,Quintal,22.99,C,1.38,6
4/1/2024,Maharashtra,Pune,Wholesale Yard,Sugarcane,CO 86032,1161,1459,1311,Quintal,89.57,A,1.64,11
2/18/2024,Gujarat,Ahmedabad,Sub Mandi,Onion,Red,916,1089,1017.5,Quintal,93.41,C,1.55,7
1/5/2024,Maharashtra,Pune,Main Mandi,Rice,Sona Masoori,873,1058,922.5,Quintal,87.5,C,1.18,7
5/15/2024,Gujarat,Vadodara,Wholesale Yard,Potato,Chipsona,813,981,875,Quintal,89.8,C,1.54,9
2/11/2024,Punjab,Ludhiana,Main Mandi,Rice,Basmati,886,1224,1083,Quintal,37.3,B,2.27,5
4/17/2024,Punjab,Patiala,Wholesale Yard,Maize,Yellow,1151,1529,1388,Quintal,7.6,B,1.24,4
2/14/2024,Karnataka,Bangalore,Agro Market,Onion,Pink,920,1118,1049,Quintal,64.09,C,1.96,4
6/1/2024,Gujarat,Surat,Wholesale Yard,Wheat,Durum,1171,1485,1338,Quintal,35.05,C,2.15,2
1/22/2024,Gujarat,Ahmedabad,Main Mandi,Rice,Basmati,1036,1310,1219,Quintal,71.01,A,2.97,13
5/16/2024,Karnataka,Hubli,Wholesale Yard,Wheat,Sharbati,827,1007,962,Quintal,20.62,A,2.82,7
3/28/2024,Karnataka,Mysore,Sub Mandi,Maize,White,805,994,857.5,Quintal,61.74,A,1.46,6
2/27/2024,Uttar Pradesh,Kanpur,Wholesale Yard,Wheat,Sharbati,1000,1104,1036,Quintal,66.85,C,1.15,7
6/10/2024,Karnataka,Hubli,Main Mandi,Tomato,Hybrid,1115,1240,1193.5,Quintal,40,A,1.94,6
4/11/2024,Gujarat,Surat,Wholesale Yard,Maize,White,1035,1198,1113.5,Quintal,62.62,B,1.27,4
6/9/2024,Uttar Pradesh,Kanpur,Sub Mandi,Potato,Kufri Jyoti,925,1176,1039.5,Quintal,49.29,C,1.15,8
1/18/2024,Uttar Pradesh,Varanasi,Sub Mandi,Maize,Yellow,1094,1429,1258.5,Quintal,90.33,C,2.05,15
6/12/2024,Uttar Pradesh,Varanasi,Sub Mandi,Onion,Red,1152,1525,1387.5,Quintal,69.93,C,1.96,4
2/18/2024,Karnataka,Bangalore,Wholesale Yard,Wheat,Durum,991,1129,1072,Quintal,76.56,A,1.12,10
6/16/2024,Gujarat,Surat,Agro Market,Wheat,Sharbati,990,1382,1183,Quintal,63.93,A,2.44,15
5/12/2024,Uttar Pradesh,Varanasi,Wholesale Yard,Maize,Yellow,1134,1327,1275.5,Quintal,89.47,B,2.26,7
3/9/2024,Punjab,Amritsar,Agro Market,Wheat,Durum,1016,1163,1073.5,Quintal,60.08,A,2.66,9
5/11/2024,Karnataka,Mysore,Main Mandi,Rice,Sona Masoori,1170,1376,1305,Quintal,27.08,C,1.74,10
2/8/2024,Gujarat,Vadodara,Main Mandi,Potato,Kufri Jyoti,895,1236,1114.5,Quintal,97.41,B,2.65,4
6/4/2024,Punjab,Amritsar,Wholesale Yard,Tomato,Desi,1129,1475,1336,Quintal,50.93,B,2.95,12
6/21/2024,Maharashtra,Nagpur,Agro Market,Wheat,Sharbati,1102,1422,1287,Quintal,64.46,A,2.78,5
5/4/2024,Gujarat,Ahmedabad,Wholesale Yard,Sugarcane,CO 0238,1002,1162,1107,Quintal,82.63,B,1.93,4
2/23/2024,Karnataka,Bangalore,Wholesale Yard,Sugarcane,CO 86032,1122,1426,1249,Quintal,57.19,C,1.26,2
5/11/2024,Uttar Pradesh,Lucknow,Wholesale Yard,Maize,White,839,1175,1001,Quintal,74.12,A,1.92,15
5/3/2024,Karnataka,Bangalore,Main Mandi,Rice,Sona Masoori,972,1217,1100.5,Quintal,66.42,C,2.88,9
5/1/2024,Punjab,Patiala,Main Mandi,Tomato,Hybrid,1193,1368,1288.5,Quintal,78.31,C,2.88,8
1/4/2024,Gujarat,Ahmedabad,Main Mandi,Potato,Kufri Jyoti,1033,1227,1129,Quintal,72,B,1.94,7
6/26/2024,Karnataka,Hubli,Sub Mandi,Wheat,Sharbati,872,1183,1020.5,Quintal,9.96,B,1.04,5
2/25/2024,Punjab,Patiala,Agro Market,Maize,White,860,1052,908,Quintal,84.75,A,2.22,8
4/18/2024,Punjab,Patiala,Main Mandi,Maize,Yellow,1038,1394,1185,Quintal,5.98,A,2.16,3
1/28/2024,Uttar Pradesh,Lucknow,Main Mandi,Sugarcane,CO 0238,813,1043,954,Quintal,23.67,A,2.1,15
3/23/2024,Karnataka,Hubli,Agro Market,Rice,Sona Masoori,1099,1269,1165,Quintal,34.16,B,1.15,12
2/2/2024,Punjab,Patiala,Main Mandi,Wheat,Sharbati,1174,1486,1326,Quintal,81.49,B,1.17,12
6/24/2024,Uttar Pradesh,Kanpur,Main Mandi,Onion,Red,854,1131,949.5,Quintal,41.24,B,1.05,4
3/18/2024,Punjab,Ludhiana,Wholesale Yard,Potato,Chipsona,978,1274,1165,Quintal,94.77,B,1.39,10
6/2/2024,Gujarat,Surat,Sub Mandi,Wheat,Lokwan,1133,1251,1220,Quintal,85.12,A,2.58,12
5/2/2024,Karnataka,Mysore,Wholesale Yard,Maize,White,1168,1529,1339.5,Quintal,85.68,A,2.31,13
5/20/2024,Punjab,Patiala,Sub Mandi,Tomato,Hybrid,809,1002,945.5,Quintal,98.23,B,1.98,4
5/5/2024,Karnataka,Bangalore,Sub Mandi,Maize,Yellow,1122,1257,1227.5,Quintal,94.13,B,2.97,5
3/17/2024,Gujarat,Ahmedabad,Sub Mandi,Tomato,Hybrid,1184,1359,1236.5,Quintal,53.19,B,1.09,11
1/1/2024,Gujarat,Ahmedabad,Agro Market,Onion,White,813,950,894.5,Quintal,81.08,A,2.83,13
5/24/2024,Punjab,Ludhiana,Agro Market,Tomato,Hybrid,1153,1311,1273,Quintal,14.45,A,1.33,2
2/12/2024,Uttar Pradesh,Kanpur,Sub Mandi,Sugarcane,CO 86032,900,1123,963.5,Quintal,39.36,C,1.85,4
1/20/2024,Punjab,Ludhiana,Agro Market,Maize,White,1093,1430,1231.5,Quintal,87.09,B,2.72,3
6/27/2024,Punjab,Amritsar,Wholesale Yard,Tomato,Hybrid,989,1194,1128.5,Quintal,82.62,B,2.34,9
5/13/2024,Punjab,Patiala,Sub Mandi,Maize,Yellow,925,1172,1073.5,Quintal,23.75,A,2.87,10
4/30/2024,Karnataka,Mysore,Agro Market,Rice,Kolam,936,1100,1056,Quintal,48.62,C,2.16,5
2/13/2024,Uttar Pradesh,Kanpur,Wholesale Yard,Wheat,Sharbati,903,1052,1003.5,Quintal,20.55,A,1.18,2
2/28/2024,Punjab,Ludhiana,Agro Market,Maize,Yellow,852,1044,985,Quintal,58.42,C,2.24,2
5/4/2024,Karnataka,Mysore,Main Mandi,Onion,Pink,1096,1274,1137,Quintal,67.87,C,2.78,14
3/3/2024,Karnataka,Hubli,Main Mandi,Rice,Basmati,956,1329,1116.5,Quintal,34.93,A,2.84,14
1/17/2024,Karnataka,Mysore,Wholesale Yard,Onion,Pink,1121,1488,1338.5,Quintal,80.28,B,1.42,2
5/20/2024,Maharashtra,Nashik,Agro Market,Sugarcane,CO 86032,1037,1361,1236,Quintal,81.9,C,1.85,13
4/17/2024,Punjab,Amritsar,Main Mandi,Rice,Kolam,1171,1345,1305,Quintal,92.25,B,1.56,9
4/27/2024,Maharashtra,Pune,Wholesale Yard,Sugarcane,CO 86032,989,1347,1212,Quintal,34.57,A,2.32,15
5/22/2024,Maharashtra,Nagpur,Wholesale Yard,Onion,Pink,826,936,870,Quintal,10.74,C,2.64,4
5/30/2024,Gujarat,Ahmedabad,Main Mandi,Tomato,Desi,833,1173,1051,Quintal,83.62,C,1.44,13
2/4/2024,Punjab,Patiala,Main Mandi,Potato,Chipsona,1110,1321,1211.5,Quintal,80.4,C,1.86,5
3/5/2024,Maharashtra,Nagpur,Sub Mandi,Onion,Pink,1169,1539,1360,Quintal,91.57,B,1.02,10
6/27/2024,Maharashtra,Nashik,Main Mandi,Onion,White,1128,1260,1210,Quintal,70.36,C,1.39,3
5/16/2024,Karnataka,Bangalore,Sub Mandi,Sugarcane,CO 86032,1032,1351,1154.5,Quintal,58.4,C,2.89,5
5/4/2024,Maharashtra,Nagpur,Agro Market,Potato,Chipsona,1106,1427,1224.5,Quintal,48.16,C,1.22,10
3/28/2024,Karnataka,Bangalore,Agro Market,Tomato,Desi,949,1191,1084,Quintal,29.77,A,1.41,5
5/12/2024,Karnataka,Bangalore,Sub Mandi,Potato,Kufri Jyoti,896,1044,920,Quintal,26.09,A,2.83,10
2/22/2024,Punjab,Ludhiana,Sub Mandi,Wheat,Lokwan,852,974,949,Quintal,32.62,A,2.87,6
1/4/2024,Uttar Pradesh,Kanpur,Agro Market,Rice,Kolam,1015,1120,1083.5,Quintal,18.83,B,1.07,10
1/24/2024,Uttar Pradesh,Kanpur,Sub Mandi,Rice,Basmati,915,1187,1100,Quintal,25.67,B,2.16,8
4/11/2024,Punjab,Amritsar,Main Mandi,Wheat,Sharbati,1136,1484,1303,Quintal,28.52,B,2.42,12
4/19/2024,Punjab,Ludhiana,Agro Market,Onion,Red,966,1251,1123.5,Quintal,29.78,B,2.43,14
3/27/2024,Punjab,Ludhiana,Agro Market,Onion,Pink,870,1032,931,Quintal,64.61,A,1.6,13
6/5/2024,Karnataka,Mysore,Agro Market,Onion,Red,1048,1310,1194,Quintal,98.66,C,1.12,6
4/20/2024,Uttar Pradesh,Varanasi,Main Mandi,Potato,Chipsona,1043,1370,1231.5,Quintal,65.85,B,1.62,6
4/10/2024,Punjab,Patiala,Sub Mandi,Tomato,Desi,879,1084,963.5,Quintal,61.23,C,2.86,4
1/5/2024,Gujarat,Vadodara,Agro Market,Wheat,Sharbati,855,994,913.5,Quintal,40.95,A,2.85,15
4/4/2024,Gujarat,Vadodara,Main Mandi,Rice,Basmati,1043,1157,1064,Quintal,48.5,C,1.3,4
2/24/2024,Maharashtra,Nashik,Agro Market,Sugarcane,CO 86032,863,1065,954,Quintal,11.55,B,1.56,2
2/14/2024,Gujarat,Surat,Wholesale Yard,Onion,Pink,1130,1293,1227.5,Quintal,91.65,A,2.92,9
5/22/2024,Maharashtra,Nashik,Main Mandi,Tomato,Desi,1050,1303,1214.5,Quintal,84.5,A,1.37,15
5/10/2024,Gujarat,Ahmedabad,Sub Mandi,Maize,White,960,1345,1165.5,Quintal,71.39,B,2.17,7
1/21/2024,Uttar Pradesh,Varanasi,Agro Market,Tomato,Hybrid,1189,1548,1349.5,Quintal,5.13,B,2.88,14
6/6/2024,Karnataka,Hubli,Agro Market,Potato,Chipsona,918,1185,1066.5,Quintal,43.11,B,1.33,2
3/17/2024,Gujarat,Ahmedabad,Sub Mandi,Potato,Chipsona,956,1282,1131,Quintal,83.29,B,1.35,9
6/8/2024,Uttar Pradesh,Varanasi,Sub Mandi,Rice,Kolam,874,1023,924.5,Quintal,6.95,C,2.4,7
4/4/2024,Maharashtra,Pune,Sub Mandi,Potato,Chipsona,1090,1488,1241,Quintal,71.38,A,2.13,10
4/29/2024,Karnataka,Mysore,Wholesale Yard,Potato,Kufri Jyoti,852,971,952.5,Quintal,86.08,A,2.68,4
4/11/2024,Punjab,Ludhiana,Main Mandi,Tomato,Hybrid,1053,1223,1107,Quintal,26.83,B,2.55,13
3/30/2024,Punjab,Amritsar,Main Mandi,Sugarcane,CO 86032,1141,1368,1214.5,Quintal,79.02,B,1.27,14
4/27/2024,Uttar Pradesh,Lucknow,Wholesale Yard,Sugarcane,CO 0238,1170,1342,1264,Quintal,62.45,B,1.02,2
3/3/2024,Uttar Pradesh,Lucknow,Agro Market,Maize,Yellow,1158,1507,1374.5,Quintal,9.96,C,2.01,14
4/9/2024,Gujarat,Ahmedabad,Sub Mandi,Wheat,Durum,866,972,940,Quintal,51.76,C,2.41,11
6/19/2024,Maharashtra,Nashik,Agro Market,Potato,Kufri Jyoti,1125,1517,1326,Quintal,67.7,C,1.96,12
2/28/2024,Uttar Pradesh,Kanpur,Sub Mandi,Potato,Chipsona,804,1022,907,Quintal,19.18,A,1.65,9
3/10/2024,Gujarat,Surat,Sub Mandi,Tomato,Hybrid,883,1051,964,Quintal,89.42,A,1.87,14
1/10/2024,Karnataka,Mysore,Sub Mandi,Tomato,Desi,923,1199,1102,Quintal,36.14,B,3,14
4/13/2024,Punjab,Amritsar,Sub Mandi,Rice,Kolam,909,1250,1049.5,Quintal,75.51,C,1.36,12
4/16/2024,Uttar Pradesh,Varanasi,Agro Market,Wheat,Lokwan,1056,1206,1134,Quintal,98.11,B,2.46,5
2/13/2024,Punjab,Amritsar,Agro Market,Rice,Basmati,1121,1376,1232.5,Quintal,36,C,2.43,4
5/19/2024,Karnataka,Mysore,Agro Market,Maize,White,1070,1202,1175,Quintal,36.86,A,1.4,4
3/6/2024,Punjab,Ludhiana,Main Mandi,Sugarcane,CO 86032,837,971,888,Quintal,25.75,A,1.23,9
4/23/2024,Punjab,Patiala,Agro Market,Tomato,Hybrid,1019,1142,1080.5,Quintal,7.92,C,1.21,10
1/26/2024,Punjab,Patiala,Agro Market,Rice,Sona Masoori,966,1160,1072,Quintal,48.87,A,1.21,5
3/26/2024,Karnataka,Mysore,Main Mandi,Tomato,Hybrid,988,1381,1169.5,Quintal,89.87,A,1.48,13
4/6/2024,Maharashtra,Nagpur,Sub Mandi,Wheat,Lokwan,903,1069,1023,Quintal,72.02,A,2.21,7
2/9/2024,Maharashtra,Pune,Main Mandi,Maize,White,845,1072,916.5,Quintal,28.94,B,2.28,3
3/25/2024,Uttar Pradesh,Lucknow,Main Mandi,Tomato,Hybrid,1106,1252,1184,Quintal,15.93,A,1.21,13
2/23/2024,Gujarat,Ahmedabad,Wholesale Yard,Maize,Yellow,953,1310,1113.5,Quintal,25.69,B,2.53,13
6/19/2024,Maharashtra,Nashik,Agro Market,Rice,Sona Masoori,1078,1375,1261.5,Quintal,61.15,A,1.83,9
5/5/2024,Uttar Pradesh,Lucknow,Agro Market,Onion,Pink,1121,1484,1325.5,Quintal,84.14,C,2.59,14
6/21/2024,Karnataka,Bangalore,Main Mandi,Rice,Basmati,1087,1473,1326,Quintal,60.41,B,2.14,5
6/16/2024,Punjab,Amritsar,Main Mandi,Maize,White,1039,1345,1164,Quintal,11.51,C,1.9,5
1/5/2024,Punjab,Ludhiana,Sub Mandi,Rice,Basmati,1119,1341,1258,Quintal,44.64,B,1.09,9
2/23/2024,Karnataka,Mysore,Wholesale Yard,Potato,Kufri Jyoti,917,1225,1100,Quintal,19.93,B,2.43,11
1/17/2024,Karnataka,Bangalore,Agro Market,Sugarcane,CO 0238,862,1053,914.5,Quintal,57.17,A,2.43,9
2/11/2024,Gujarat,Surat,Agro Market,Maize,White,858,976,891,Quintal,10.48,A,1.77,7
1/12/2024,Punjab,Amritsar,Main Mandi,Tomato,Hybrid,870,1109,1018.5,Quintal,67.59,C,2.95,14
5/29/2024,Gujarat,Vadodara,Main Mandi,Onion,Pink,1090,1378,1274,Quintal,17.47,B,2.59,9
4/29/2024,Punjab,Patiala,Agro Market,Rice,Basmati,830,1165,957.5,Quintal,44.48,A,1.54,5
2/2/2024,Uttar Pradesh,Varanasi,Main Mandi,Rice,Basmati,1119,1436,1274.5,Quintal,19.79,C,1.17,7
2/23/2024,Uttar Pradesh,Lucknow,Wholesale Yard,Onion,White,1052,1427,1268.5,Quintal,97.58,C,2.04,3
4/21/2024,Maharashtra,Nashik,Sub Mandi,Tomato,Hybrid,1101,1288,1163.5,Quintal,46.15,B,1.19,10
3/6/2024,Maharashtra,Nagpur,Agro Market,Rice,Kolam,1031,1174,1105.5,Quintal,82.66,A,2.29,4
2/8/2024,Punjab,Patiala,Wholesale Yard,Rice,Basmati,1190,1307,1293.5,Quintal,38.28,C,2.96,4
4/12/2024,Punjab,Amritsar,Wholesale Yard,Sugarcane,CO 86032,872,1124,1021,Quintal,20.69,A,2.98,9
1/1/2024,Gujarat,Surat,Wholesale Yard,Potato,Chipsona,841,1091,1005,Quintal,37,B,2.78,2
5/7/2024,Uttar Pradesh,Varanasi,Agro Market,Sugarcane,CO 86032,873,1241,1039,Quintal,8.41,B,2.82,6
3/11/2024,Gujarat,Ahmedabad,Agro Market,Maize,Yellow,964,1097,1033.5,Quintal,19.04,B,1.74,6
4/28/2024,Uttar Pradesh,Varanasi,Sub Mandi,Maize,White,831,1060,905.5,Quintal,32.14,B,2.66,12
5/31/2024,Maharashtra,Nagpur,Main Mandi,Maize,Yellow,860,1175,1066.5,Quintal,84.96,C,1.18,11
5/16/2024,Maharashtra,Nashik,Wholesale Yard,Wheat,Lokwan,1061,1417,1256,Quintal,78.38,B,1.27,4
5/22/2024,Gujarat,Ahmedabad,Agro Market,Wheat,Lokwan,843,1151,1040,Quintal,54.45,A,2.35,12
5/22/2024,Gujarat,Surat,Agro Market,Rice,Kolam,1163,1526,1370.5,Quintal,60.78,C,2.28,8
1/30/2024,Maharashtra,Nagpur,Main Mandi,Rice,Basmati,1063,1345,1214,Quintal,86.45,C,1.12,9
1/22/2024,Uttar Pradesh,Lucknow,Agro Market,Maize,Yellow,1071,1318,1201.5,Quintal,19.75,C,2.2,10
5/12/2024,Maharashtra,Nagpur,Main Mandi,Onion,Red,997,1166,1075.5,Quintal,38.17,B,1.46,6
6/13/2024,Uttar Pradesh,Lucknow,Agro Market,Maize,Yellow,979,1157,1110,Quintal,54.04,C,1.65,14
5/4/2024,Uttar Pradesh,Kanpur,Sub Mandi,Tomato,Desi,889,1067,948,Quintal,49.51,C,2.71,8
4/23/2024,Punjab,Ludhiana,Wholesale Yard,Rice,Basmati,1145,1335,1208,Quintal,13.97,C,1.99,5
6/21/2024,Uttar Pradesh,Lucknow,Main Mandi,Wheat,Lokwan,880,1265,1045.5,Quintal,20.21,A,2.84,8
4/13/2024,Uttar Pradesh,Varanasi,Main Mandi,Potato,Chipsona,1099,1216,1201.5,Quintal,11.67,A,2.99,14
2/11/2024,Gujarat,Ahmedabad,Sub Mandi,Sugarcane,CO 86032,1042,1257,1161.5,Quintal,29.1,B,1.11,10
4/16/2024,Punjab,Patiala,Agro Market,Sugarcane,CO 0238,1179,1310,1226.5,Quintal,24.68,B,1.54,7
3/3/2024,Uttar Pradesh,Kanpur,Sub Mandi,Potato,Kufri Jyoti,1136,1454,1298,Quintal,71.92,A,1.45,15
3/28/2024,Uttar Pradesh,Varanasi,Wholesale Yard,Tomato,Hybrid,961,1333,1135,Quintal,75.02,C,2.07,5
2/28/2024,Karnataka,Hubli,Wholesale Yard,Sugarcane,CO 0238,1005,1253,1096,Quintal,13.12,C,2.63,4
6/16/2024,Karnataka,Bangalore,Agro Market,Wheat,Lokwan,1117,1313,1229,Quintal,45.48,C,2.11,3
3/14/2024,Uttar Pradesh,Varanasi,Main Mandi,Wheat,Lokwan,891,1116,965.5,Quintal,25.93,A,2.27,8
3/3/2024,Karnataka,Hubli,Agro Market,Onion,Red,994,1319,1178.5,Quintal,9.24,C,2.71,4
6/9/2024,Uttar Pradesh,Lucknow,Main Mandi,Maize,White,1139,1390,1267.5,Quintal,59.72,B,1.46,2
5/20/2024,Uttar Pradesh,Varanasi,Agro Market,Wheat,Durum,808,1030,869,Quintal,94.56,A,1.86,10
4/23/2024,Punjab,Ludhiana,Agro Market,Maize,White,885,1178,1026.5,Quintal,45.49,A,1.63,8
2/5/2024,Punjab,Ludhiana,Sub Mandi,Tomato,Hybrid,893,1184,994.5,Quintal,69.04,B,2.23,15
5/21/2024,Gujarat,Vadodara,Sub Mandi,Maize,White,857,1050,912.5,Quintal,79.77,C,2.08,6
5/27/2024,Karnataka,Hubli,Agro Market,Maize,White,905,1242,1097.5,Quintal,88.4,B,2.37,15
2/24/2024,Punjab,Amritsar,Wholesale Yard,Tomato,Hybrid,1180,1434,1323,Quintal,20.44,C,1.48,8
4/22/2024,Gujarat,Ahmedabad,Agro Market,Potato,Chipsona,1171,1551,1349,Quintal,99.43,C,2.35,11
5/29/2024,Uttar Pradesh,Lucknow,Wholesale Yard,Rice,Basmati,1143,1246,1148.5,Quintal,12.17,C,2.21,3
